,car-id,days,left-park
0,20154301124328-262,0,True
1,20153101013141-937,0,True
2,20155201025212-846,0,True
3,20155301025312-741,0,True
4,20150101030146-497,0,True
5,20153701033700-323,0,True
6,20154001034019-109,0,True
7,20152901052958-57,0,True
8,20154201054201-550,0,True
9,20154901054932-304,0,True
10,20151701061719-611,0,True
11,20155101065139-549,1,True
12,20152001072049-523,0,True
13,20153601073650-751,4,True
14,20155201075209-669,0,True
15,20151001081035-840,0,True
16,20151301081324-366,0,True
17,20152101082156-552,0,True
18,20152701082731-176,0,True
19,20153601093644-33,1,True
20,20155201095259-137,3,True
21,20153201103200-582,0,True
22,20153501103520-243,0,True
23,20153601103632-930,0,True
24,20154401104416-538,0,True
25,20155701105733-580,4,True
26,20155801105820-248,1,True
27,20151301111352-990,0,True
28,20152401012401-945,0,True
29,20152501012546-952,0,True
30,20152501012557-10,0,True
31,20153601013616-849,0,True
32,20150801020850-865,0,True
33,20153401033430-345,0,True
34,20154101034146-410,0,True
35,20154801034809-529,0,True
36,20150101040141-397,0,True
37,20154001044056-714,2,True
38,20155401045441-227,0,True
39,20150101060136-731,0,True
40,20152601072603-870,0,True
41,20155201075206-349,0,True
42,20154301114306-910,0,True
43,20151302121334-985,0,True
44,20155502025544-979,0,True
45,20150502040512-565,0,True
46,20152802052806-928,0,True
47,20152102062100-389,4,True
48,20155202065206-711,0,True
49,20150602070649-231,0,True
50,20151402071449-545,0,True
51,20151602071621-654,0,True
52,20154002074031-133,2,True
53,20155202075207-398,0,True
54,20155502075522-491,0,True
55,20151202081232-209,0,True
56,20154302084310-559,0,True
57,20154702084758-168,5,True
58,20150502090541-904,0,True
59,20151902111913-640,7,True
60,20155602115634-803,0,True
61,20150302010312-760,0,True
62,20152602012639-340,4,True
63,20153002013028-298,0,True
64,20151202021230-956,5,True
65,20153602023647-120,2,True
66,20155302025352-365,0,True
67,20152002042015-193,0,True
68,20154102044113-988,0,True
69,20154602044612-82,0,True
70,20154802044825-624,0,True
71,20151602071627-36,0,True
72,20151902071923-16,0,True
73,20150002080040-921,0,True
74,20152102082141-406,0,True
75,20153002083021-292,0,True
76,20150802110852-346,0,True
77,20151003121025-950,0,True
78,20151703121720-618,0,True
79,20152503012502-560,0,True
80,20150903020928-497,0,True
81,20154003044005-17,0,True
82,20155003055049-24,0,True
83,20155403055443-412,0,True
84,20155703055759-583,0,True
85,20151403061425-243,0,True
86,20154003064055-201,0,True
87,20155103065157-254,0,True
88,20155803065823-477,0,True
89,20151903071934-939,9,True
90,20153603073614-148,3,True
91,20154003074050-280,11,True
92,20150903080915-957,0,True
93,20154303084322-126,0,True
94,20151503091545-22,7,True
95,20150303100343-74,0,True
96,20153203103200-611,0,True
97,20153703103702-660,0,True
98,20153903103918-43,0,True
99,20155303105327-375,0,True
100,20155803105858-900,2,True
101,20150703110736-237,2,True
102,20151803121817-229,0,True
103,20150403020416-490,0,True
104,20153003023054-91,1,True
105,20152503032527-873,2,True
106,20153103033157-551,0,True
107,20153203033246-681,0,True
108,20153203033255-977,2,True
109,20155003035017-260,1,True
110,20155103035116-592,11,True
111,20155803035851-140,0,True
112,20150803050829-770,0,True
113,20151103051105-693,0,True
114,20154803054807-805,0,True
115,20155403055431-257,0,True
116,20154803064813-28,0,True
117,20155203065209-82,0,True
118,20151203081248-820,0,True
119,20152803082805-619,0,True
120,20154403084410-270,0,True
121,20155903115957-556,0,True
122,20151704021745-210,0,True
123,20153704023750-346,0,True
124,20154804054851-733,0,True
125,20150704060747-94,0,True
126,20150804070850-234,0,True
127,20152104072125-25,0,True
128,20153404073436-211,0,True
129,20155304075353-452,0,True
130,20151304091319-319,0,True
131,20152904102929-831,0,True
132,20153504103546-744,0,True
133,20153604113610-711,6,True
134,20155304115351-36,0,True
135,20151604011635-266,4,True
136,20154304014359-573,0,True
137,20155704015750-993,0,True
138,20150204020258-450,4,True
139,20154004024058-952,0,True
140,20155404025425-846,0,True
141,20150604030648-583,0,True
142,20155404035404-301,0,True
143,20155604035654-479,1,True
144,20152204042233-205,0,True
145,20150104050128-43,6,True
146,20152404052454-27,0,True
147,20151504061538-491,0,True
148,20151204071251-825,0,True
149,20154804074827-231,0,True
150,20150204080227-619,0,True
151,20151804101823-786,0,True
152,20151904111928-259,0,True
153,20152904112957-341,0,True
154,20155205125210-970,0,True
155,20152405012441-733,0,True
156,20150505020522-625,0,True
157,20151705031703-749,0,True
158,20151805061831-133,6,True
159,20152905062953-731,0,True
160,20153305073332-375,0,True
161,20155305075355-395,0,True
162,20150105080156-835,0,True
163,20150205080233-879,0,True
164,20152705082700-328,2,True
165,20153305083306-650,0,True
166,20155705085752-232,0,True
167,20150905090932-101,4,True
168,20154205094230-49,0,True
169,20154305094348-630,0,True
170,20154105104122-644,3,True
171,20155305105337-96,0,True
172,20153105123101-248,0,True
173,20155705125721-407,4,True
174,20150405010436-416,0,True
175,20151305011343-613,0,True
176,20153705013742-751,0,True
177,20151905021902-720,0,True
178,20153405023441-79,0,True
179,20150605040618-478,3,True
180,20152105042140-626,0,True
181,20153705043758-335,0,True
182,20150505050508-318,0,True
183,20154105054102-171,0,True
184,20152005062002-300,0,True
185,20151205071201-727,0,True
186,20152305082333-92,0,True
187,20151905101914-783,0,True
188,20155705105749-356,0,True
189,20152006012006-635,0,True
